"attr_code";"area_code";"value";"ts_start";"ts"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-01-01";"1262304000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"58.52";"2010-01-01";"1262304000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"75.36";"2010-01-01";"1262304000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"77.73";"2010-01-01";"1262304000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"58.52";"2010-02-01";"1264982400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"75.34";"2010-02-01";"1264982400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"77.8";"2010-02-01";"1264982400000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-02-01";"1264982400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"76.25";"2010-03-01";"1267401600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"78.48";"2010-03-01";"1267401600000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-03-01";"1267401600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"58.57";"2010-03-01";"1267401600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"81.46";"2010-04-01";"1270080000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"78.67";"2010-04-01";"1270080000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"58.57";"2010-04-01";"1270080000000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-04-01";"1270080000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"57.07";"2010-05-01";"1272672000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"83.96";"2010-05-01";"1272672000000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-05-01";"1272672000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"80.69";"2010-05-01";"1272672000000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-06-01";"1275350400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"59.75";"2010-06-01";"1275350400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"83.23";"2010-06-01";"1275350400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"86.61";"2010-06-01";"1275350400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"87.88";"2010-07-01";"1277942400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"61.96";"2010-07-01";"1277942400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"91.85";"2010-07-01";"1277942400000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-07-01";"1277942400000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-08-01";"1280620800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"61.92";"2010-08-01";"1280620800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"88.98";"2010-08-01";"1280620800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"92.09";"2010-08-01";"1280620800000"
"Blochholz Buche Kl. B 3";"Österreich";"73.9";"2010-09-01";"1283299200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"65.28";"2010-09-01";"1283299200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"89.38";"2010-09-01";"1283299200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"92.6";"2010-09-01";"1283299200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"92.44";"2010-10-01";"1285891200000"
"Blochholz Buche Kl. B 3";"Österreich";"74.82";"2010-10-01";"1285891200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"66.39";"2010-10-01";"1285891200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"89.42";"2010-10-01";"1285891200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"66.52";"2010-11-01";"1288569600000"
